Name,Location,Founded,Employees,About,Skills,Link
Angel One - Software Development Engineer - 2,Job available in Bangalore,Founded in 1987,More than 1000 employees,"Angel One provides retail personal financial services in India. The company offers e-broking, portfolio management, mutual fund, private client group, commodities broking, investment advisory, etc.","Python, Golang, Java",https://www.instahyre.com/job-291197-software-development-engineer-2-at-angel-one-bangalore/
Anko - Senior Data Scientist,Job available in Bangalore,Founded in 2018,200 - 500 employees,Anko is the innovation and technology hub that fuels customer experience for Australian retail brands by building competitive capabilities and providing on-trend products across apparel and general merchandise.,"Python, R, SQL, Machine Learning, EDA",https://www.instahyre.com/job-291227-senior-data-scientist-at-anko-bangalore/
ATMECS Technologies - Big Data Engineer,Job available in Hyderabad,Founded in 2013,50 - 200 employees,"Headquartered in Santa Clara, California, with R&D Center in Hyderabad, ATMECS provides Product Engineering, QA Automation, Infrastructure, Data and Market Research services. Clients include several Fortune 500 companies.","Python, Scala, Spark, Big Data",https://www.instahyre.com/job-291371-big-data-engineer-at-atmecs-technologies-2-hyderabad/
Deliveroo - Senior Software Engineer,Job available in Hyderabad,Founded in 2013,More than 1000 employees,Deliveroo is a web and mobile-based food delivery platform that fulfills meals and food delivery orders from local restaurants and operates across the various UK regions with 100+ restaurants partners.,"Python, Golang, Java, Ruby, Scala",https://www.instahyre.com/job-291207-senior-software-engineer-at-deliveroo-hyderabad/
Glean - Solutions Engineer,Job available in Bangalore,Founded in 2019,200 - 500 employees,"Glean is an intuitive work assistant that searches across all company apps, helping users find information effortlessly and discover insights, connecting them with the knowledge they need to make a difference.","Python, Presales, Solution Architecture, AWS, Java",https://www.instahyre.com/job-291262-solutions-engineer-at-glean-bangalore/
Ideapoke - Senior Machine Learning Engineer,Job available in Bangalore,Founded in 2012,10 - 50 employees,"Ideapoke is a technology driven open innovation platform helping organizations (Enterprises, SMB's, Startups, Universities) to connect and collaborate with right partners to solve their Innovation needs, technical R&D and new product development challenges.","Python, Computer Vision, Data Mining, Machine Learning, +9, , , , , , , , , ",https://www.instahyre.com/job-291184-senior-machine-learning-engineer-at-ideapoke-2-bangalore/
Incedo - Technical Lead - Mainframes Migration,Job available in Chennai,Founded in 2011,More than 1000 employees,"Incedo is a Bay Area headquartered, consulting, analytics and technology services firm. Works with clients in Financial Services, Life Science and Communication Engineering sectors on their IT, digital and analytics needs.","Python, Java, .NET, Mainframes",https://www.instahyre.com/job-291269-technical-lead-mainframes-migration-at-incedo-chennai/
IndiaLends - Business Analyst - Credit Analytics,Job available in Gurgaon,Founded in 2014,200 - 500 employees,"IndiaLends is an online platform connecting borrowers and institutional lenders. It aggregates information from data sources like credit bureaus, application form, social networks, bank statements to determine credit worthiness.","Python, Credit Card Analytics, Business Analysis",https://www.instahyre.com/job-291270-business-analyst-credit-analytics-at-indialends-2-gurgaon/
InSync AI - Jr. Backend Engineer,Job available in Work From Home,Founded in 2015,0 - 10 employees,"InSyncai is a conversational platform that leverages AI to enable brands and retailers develop deep, contextual, human-like assistants that work across platforms and applications for superior customer experience.","Python, NLP, Machine Learning, AWS",https://www.instahyre.com/job-291268-jr-backend-engineer-at-insync-ai-work-from-home/
Kearney - Lead Solution Architect,Job available in Bangalore,Founded in 1926,More than 1000 employees,"Kearney is a leading global management consulting firm that helps business verticals by providing a range of products and services across strategic business consulting, digital analytics, operations, and more.","Python, Django, Flask, Angular, AWS",https://www.instahyre.com/job-291260-lead-solution-architect-at-kearney-bangalore/
Media.net - Lead Machine Learning Engineer,Job available in Bangalore,Founded in 2010,More than 1000 employees,Media.net is one of the world's leading ad-tech companies provides a wide range of advertising and traffic monetization solutions. It was acquired in 2016 by a Chinese consortium for $900 Million.,"Python, Machine Learning, Java, NoSQL, Distributed Systems",https://www.instahyre.com/job-291373-lead-machine-learning-engineer-at-media-bangalore/
Media.net - Machine Learning Engineer,Job available in Bangalore,Founded in 2010,More than 1000 employees,Media.net is one of the world's leading ad-tech companies provides a wide range of advertising and traffic monetization solutions. It was acquired in 2016 by a Chinese consortium for $900 Million.,"Python, Machine Learning, NoSQL, Java",https://www.instahyre.com/job-291263-machine-learning-engineer-at-media-bangalore/
Provakil - Engineering Leadership,Job available in Pune,Founded in 2015,10 - 50 employees,"Provakil is a legal services company that provides services related to building software for legal services, specializing in intellectual property management, litigation management, etc.","Python, Node.js, Product Lifecycle Management, +2, , ",https://www.instahyre.com/job-291381-engineering-leadership-at-provakil-pune/
Recro - Power BI Developer,Job available in Bangalore,Founded in 2014,200 - 500 employees,Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,"Python, Power BI, SQL, DAX",https://www.instahyre.com/job-291303-power-bi-developer-at-recro-2-bangalore/
Salesforce - LMTS,"Job available in Bangalore, Hyderabad",Founded in 1999,More than 1000 employees,Salesforce is an enterprise cloud computing company that provides business software on a subscription basis. Best known for its on-demand CRM solutions but offers various other products as well.,"Python, .NET, Android, C++, Java, JavaScript, PHP, +6, , , , , , ",https://www.instahyre.com/job-291232-lmts-at-salesforce-bangalore-hyderabad/
Tata Consultancy Services - ETL Automation,Job available in Gurgaon,Founded in 1968,More than 1000 employees,"TCS is a global level IT firm helping clients with Analytics, Automation & AI, Cloud Apps & Infra, Cognitive Business, Consulting, Cyber Security, Enterprise Applications, IoT, Quality Engineering, etc.","Python, ETL, Automation Testing",https://www.instahyre.com/job-291196-etl-automation-at-tata-consultancy-services-gurgaon/
Triomics - Lead Software Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Triomics is an end-to-end cloud platform for pharmaceutical and biotech companies to run observational, bio-specimen collection, and remote clinical trials seamlessly in a single workflow.","Python, Django, LLD, Data Structures, Algorithms",https://www.instahyre.com/job-291241-lead-software-engineer-at-triomics-bangalore/
Triomics - Lead Software Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Triomics is an end-to-end cloud platform for pharmaceutical and biotech companies to run observational, bio-specimen collection, and remote clinical trials seamlessly in a single workflow.","Python, Django, Data Structures, Algorithms",https://www.instahyre.com/job-291188-lead-software-engineer-at-triomics-bangalore/
Vayavya Labs - Technical Writer,Job available in Bangalore,Founded in 2006,50 - 200 employees,"Vayavya Labs is an IT & Services company that offers solutions focusing on domains of Embedded Software for Automotive, IoT, Next generation Ethernet, Virtual Platforms development, etc.","Python, HTML, Shell Scripting, Technical Writing, Git",https://www.instahyre.com/job-291258-technical-writer-at-vayavya-labs-bangalore/
Wayfair - Software Engineer,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python, C, Golang, Java, Node.js, PHP, Scala, +4, , , , ",https://www.instahyre.com/job-291222-software-engineer-at-wayfair-bangalore/
